"Species","Brain","Gestation","Weaning","Birthwt","Adultwt","Maxlongev","Maxlongevd","Groupsz"
"Addax_nasomaculatus",213.83,282,198,5600,92500,28,10220,20
"Aepyceros_melampus",205.44,198,167,5550,52500,25.6,9344,20
"Alcelaphus_buselaphus",323.57,247,193,9050,159000,22.5,8212.5,10
"Ammotragus_lervia",217.56,149,122,4500,92500,21.7,7920.5,3
"Antidorcas_marsupialis",146.7,168,121,4160,39000,19.8,7227,24
"Antilope_cervicapra",126.18,168,60,3850,37500,23.9,8723.5,23
"Beatragus_hunteri",NA,283,NA,8350,159000,NA,NA,18
"Bison_bison",787.36,274,259,20000,630000,33.5,12227.5,57
"Bison_bonasus",NA,270,213,23375,610000,26.4,9636,20
"Bos_gaurus",NA,275,137,23000,825000,26.2,9563,9.5
"Bos_grunniens",346.02,274,228,18000,667000,26.3,9599.5,80
"Bos_javanicus",NA,295,304,NA,7e+05,27.1,9891.5,21
"Bos_sauveli",NA,260,NA,NA,8e+05,NA,NA,NA
"Bos_taurus",NA,277,NA,NA,750000,20,7300,NA
"Boselaphus_tragocamelus",317.02,255,NA,5875,180000,21.7,7920.5,7
"Bubalus_bubalis",NA,311,228,37500,725000,34.9,12738.5,21
"Bubalus_depressicornis",238.96,300,NA,NA,155000,36.1,13176.5,1
"Bubalus_mindorensis",NA,300,NA,NA,240000,NA,NA,NA
"Bubalus_quarlesi",NA,295,NA,NA,150000,29.2,10658,NA
"Budorcas_taxicolor",371.39,210,NA,6000,180000,21.9,7993.5,22.5
"Capra_caucasica",NA,157,NA,3850,70000,19.3,7044.5,12
"Capra_cylindricornis",NA,161,182,3787.5,50000,20.2,7373,12
"Capra_falconeri",NA,163,167,NA,41000,19.1,6971.5,9
"Capra_hircus",151.26,155,160,2250,61000,20.8,7592,15
"Capra_ibex",NA,169,274,2850,82500,20.9,7628.5,15
"Capra_nubiana",118.39,150,NA,NA,46250,22.4,8176,20
"Capra_pyrenaica",NA,165,NA,NA,57500,NA,NA,10
"Capra_sibirica",NA,175,NA,3640,130000,22.3,8139.5,13.8
"Capricornis_crispus",NA,215,NA,3510.5,80000,24,8760,1
"Capricornis_sumatraensis",233.17,213,NA,3500,95000,18.5,6752.5,1
"Cephalophus_dorsalis",96.35,236,NA,1610,11600,17.5,6387.5,1
"Cephalophus_jentinki",NA,NA,NA,4581,70000.3,21,7665,1
"Cephalophus_natalensis",89.2,213,NA,955,10000,15.2,5548,2
"Cephalophus_niger",105.27,128,NA,1940,18100,14.8,5402,1
"Cephalophus_nigrifrons",88.58,NA,NA,NA,13900,17.9,6533.5,1
"Cephalophus_rufilatus",NA,230,NA,943,13000,15.2,5548,1
"Cephalophus_silvicultor",181.3,165,38,2400,62000,22.5,8212.5,2
"Cephalophus_zebra",NA,227,NA,1707.5,17500.1,NA,NA,1
"Connochaetes_gnou",373.58,259,228,11000,132250,21.8,7957,21
"Connochaetes_taurinus",447.03,253,278,18125,164500,24.3,8869.5,15
"Damaliscus_lunatus",309.56,238,NA,11100,110000,23.6,8614,6
"Damaliscus_pygargus",NA,243,152,6792,84500,23,8395,8
"Gazella_cuvieri",NA,171,NA,NA,17500,17.9,6533.5,4.5
"Gazella_dorcas",79.46,182,82,1650,14500,23.7,8650.5,17
"Gazella_gazella",91.1,180,88,2360,23250,18.3,6679.5,6
"Gazella_leptoceros",80.77,176,NA,4640,48500,14.6,5329,6
"Gazella_spekei",83.26,197,NA,1253.33,20000,NA,NA,8
"Gazella_subgutturosa",97.83,175,106,2625,48500,16.3,5949.5,4
"Hemitragus_hylocrius",NA,188,152,NA,75000,17.3,6314.5,7
"Hemitragus_jemlahicus",171.98,183,151,2000,35200,21.8,7957,15
"Hippotragus_equinus",391.19,284,183,15167,225000,25.9,9453.5,13
"Hippotragus_niger",350.17,271,213,16375,225000,22.2,8103,20
"Kobus_ellipsiprymnus",339.19,264,213,9000,175333,30,10950,8
"Kobus_kob",213.93,251,189,5405,105000,21.9,7993.5,25
"Kobus_leche",231.55,229,137,5100,94800,25.4,9271,12
"Kobus_megaceros",218.45,235,NA,5100,90000,21.1,7701.5,20
"Litocranius_walleri",144.52,204,241,NA,43500,17.3,6314.5,3
"Madoqua_guentheri",39.46,178,84,681.67,4550,17.5,6387.5,2
"Madoqua_kirkii",38.33,172,71,600,5000,17.3,6314.5,2
"Naemorhedus_caudatus",NA,NA,NA,NA,27000,20.3,7409.5,8
"Naemorhedus_goral",119.9,215,NA,2000,31750,17.6,6424,8
"Nanger_dama",164.93,208,NA,NA,73000,19.3,7044.5,6
"Nanger_granti",175.91,196,NA,5602.5,67000,19.7,7190.5,10
"Nanger_soemmerringii",139.82,190,NA,NA,48500,15.5,5657.5,7
"Neotragus_moschatus",38.44,180,NA,NA,6500,13.5,4927.5,1.5
"Oreamnos_americanus",173.52,184,122,3200,90000,20.8,7592,4
"Oreotragus_oreotragus",54.91,196,137,1130,12000,25.9,9453.5,2
"Oryx_dammah",NA,247,NA,10317,177500,27.5,10037.5,12
"Oryx_gazella",317.35,270,NA,12000,170000,23.8,8687,23
"Oryx_leucoryx",NA,243,137,NA,121350,20.8,7592,15
"Ourebia_ourebi",66.61,193,137,2235,17000,15.9,5803.5,3
"Ovibos_moschatus",NA,258,213,11460,315000,27.4,10001,15
"Ovis_ammon",149.39,170,135,3400,160000,16.8,6132,50
"Ovis_aries",131.34,146,182,2370,80000,22.8,8322,63
"Ovis_canadensis",NA,180,152,4400,70275,20.6,7519,10
"Ovis_dalli",NA,173,129,2819,73100,19.6,7154,3.7
"Pelea_capreolus",118.1,261,NA,NA,25000,NA,NA,4
"Philantomba_maxwellii",46.57,120,61,832,7000,18.3,6679.5,1.5
"Philantomba_monticola",66.1,193,NA,800,6250,15.9,5803.5,2
"Procapra_gutturosa",148,185,NA,2900,30000,12,4380,20
"Pseudois_nayaur",194.1,160,182,NA,55000,20.9,7628.5,11.5
"Raphicerus_campestris",59.36,197,91,920,13000,9.3,3394.5,1.5
"Raphicerus_melanotis",NA,NA,NA,NA,10249.9,NA,NA,1
"Redunca_arundinum",166.07,224,NA,4500,58000,16.8,6132,3
"Redunca_fulvorufula",131.57,216,NA,3000,30000,15,5475,4
"Redunca_redunca",131.05,228,NA,NA,45500,NA,NA,4
"Rupicapra_rupicapra",133.28,122,76,2400,37500,17.6,6424,20
"Saiga_tatarica",123.28,152,87,3500,37500,NA,NA,35
"Sylvicapra_grimmia",93.65,165,191,1612,18500,15.4,5621,2
"Syncerus_caffer",623.65,331,289,44000,7e+05,29.8,10877,50
"Taurotragus_derbianus",561.51,264,NA,NA,680000,20.3,7409.5,20
"Tetracerus_quadricornis",97.53,212,NA,1044,19000,17.4,6351,1
"Tragelaphus_angasii",242.84,224,213,5232.5,120000,18.5,6752.5,4
"Tragelaphus_eurycerus",417.2,288,NA,19800,307500,21.9,7993.5,6
"Tragelaphus_imberbis",233,235,274,6000,82500,19.8,7227,5
"Tragelaphus_oryx",533.49,274,182,32000,5e+05,26.1,9526.5,45
"Tragelaphus_scriptus",186.48,188,NA,3800,60000,15.3,5584.5,2
"Tragelaphus_spekii",228.23,242,NA,4000,87500,22.6,8249,2
"Tragelaphus_strepsiceros",401.35,228,183,15000,217500,23.5,8577.5,16
"Eudorcas_thomsonii",97.44,170,102,2600,25000,20,7300,28
"Eudorcas_rufifrons",104.22,175,NA,NA,15011,14.5,5292.5,5
